Time Stamp,Time Zone,Name,PTID,Load
10/11/16 3:05,EDT,WEST,61752,1408.7
10/11/16 3:10,EDT,CAPITL,61757,1046.9
10/11/16 3:10,EDT,CENTRL,61754,1373.7
10/11/16 3:10,EDT,DUNWOD,61760,456
10/11/16 3:10,EDT,GENESE,61753,821.6
10/11/16 3:10,EDT,HUD VL,61758,764.2
10/11/16 3:10,EDT,LONGIL,61762,1554.9
10/11/16 3:10,EDT,MHK VL,61756,674.1
10/11/16 3:10,EDT,MILLWD,61759,201.8
10/11/16 3:10,EDT,N.Y.C.,61761,3979.3
10/11/16 3:10,EDT,NORTH,61755,441.3
10/11/16 3:10,EDT,WEST,61752,1392.2
10/11/16 3:15,EDT,CAPITL,61757,1049.2
10/11/16 3:15,EDT,CENTRL,61754,1317.2
10/11/16 3:15,EDT,DUNWOD,61760,461.2
10/11/16 3:15,EDT,GENESE,61753,826
10/11/16 3:15,EDT,HUD VL,61758,769.9
10/11/16 3:15,EDT,LONGIL,61762,1550.6
10/11/16 3:15,EDT,MHK VL,61756,667.8
10/11/16 3:15,EDT,MILLWD,61759,199.9
10/11/16 3:15,EDT,N.Y.C.,61761,3979.9
10/11/16 3:15,EDT,NORTH,61755,457.5
10/11/16 3:15,EDT,WEST,61752,1398.4
10/11/16 3:20,EDT,CAPITL,61757,1046.9
10/11/16 3:20,EDT,CENTRL,61754,1327.7
10/11/16 3:20,EDT,DUNWOD,61760,447.9
10/11/16 3:20,EDT,GENESE,61753,823.6
10/11/16 3:20,EDT,HUD VL,61758,778
10/11/16 3:20,EDT,LONGIL,61762,1557.3
10/11/16 3:20,EDT,MHK VL,61756,673.6
10/11/16 3:20,EDT,MILLWD,61759,203
10/11/16 3:20,EDT,N.Y.C.,61761,3977.3
10/11/16 3:20,EDT,NORTH,61755,445.1
10/11/16 3:20,EDT,WEST,61752,1397.3
10/11/16 3:25,EDT,CAPITL,61757,1038.2
10/11/16 3:25,EDT,CENTRL,61754,1349.2
10/11/16 3:25,EDT,DUNWOD,61760,451.1
10/11/16 3:25,EDT,GENESE,61753,822.6
10/11/16 3:25,EDT,HUD VL,61758,762.2
10/11/16 3:25,EDT,LONGIL,61762,1558.8
10/11/16 3:25,EDT,MHK VL,61756,667.8
10/11/16 3:25,EDT,MILLWD,61759,208.1
10/11/16 3:25,EDT,N.Y.C.,61761,3925.6
10/11/16 3:25,EDT,NORTH,61755,449.6
10/11/16 3:25,EDT,WEST,61752,1390.6
10/11/16 3:30,EDT,CAPITL,61757,1042.4
10/11/16 3:30,EDT,CENTRL,61754,1365.4
10/11/16 3:30,EDT,DUNWOD,61760,453.3
10/11/16 3:30,EDT,GENESE,61753,820.8
10/11/16 3:30,EDT,HUD VL,61758,767.6
10/11/16 3:30,EDT,LONGIL,61762,1563
10/11/16 3:30,EDT,MHK VL,61756,660.3
10/11/16 3:30,EDT,MILLWD,61759,204
10/11/16 3:30,EDT,N.Y.C.,61761,3941.5
10/11/16 3:30,EDT,NORTH,61755,450.9
10/11/16 3:30,EDT,WEST,61752,1385.8
10/11/16 3:35,EDT,CAPITL,61757,1047.8
10/11/16 3:35,EDT,CENTRL,61754,1368.9
10/11/16 3:35,EDT,DUNWOD,61760,453.3
10/11/16 3:35,EDT,GENESE,61753,821.5
10/11/16 3:35,EDT,HUD VL,61758,763.2
10/11/16 3:35,EDT,LONGIL,61762,1563
10/11/16 3:35,EDT,MHK VL,61756,665
10/11/16 3:35,EDT,MILLWD,61759,200.9
10/11/16 3:35,EDT,N.Y.C.,61761,3952.2
10/11/16 3:35,EDT,NORTH,61755,453.7
10/11/16 3:35,EDT,WEST,61752,1396.2
10/11/16 3:40,EDT,CAPITL,61757,1053.6
10/11/16 3:40,EDT,CENTRL,61754,1341.9
10/11/16 3:40,EDT,DUNWOD,61760,453.8
10/11/16 3:40,EDT,GENESE,61753,824.1
10/11/16 3:40,EDT,HUD VL,61758,758.2
10/11/16 3:40,EDT,LONGIL,61762,1555.9
10/11/16 3:40,EDT,MHK VL,61756,672.4
10/11/16 3:40,EDT,MILLWD,61759,202.7
10/11/16 3:40,EDT,N.Y.C.,61761,3940.2
10/11/16 3:40,EDT,NORTH,61755,446.4
10/11/16 3:40,EDT,WEST,61752,1382.9
10/11/16 3:45,EDT,CAPITL,61757,1051.1
10/11/16 3:45,EDT,CENTRL,61754,1359.6
10/11/16 3:45,EDT,DUNWOD,61760,461.7
10/11/16 3:45,EDT,GENESE,61753,821.9
10/11/16 3:45,EDT,HUD VL,61758,751.1
10/11/16 3:45,EDT,LONGIL,61762,1569.4
10/11/16 3:45,EDT,MHK VL,61756,674.1
10/11/16 3:45,EDT,MILLWD,61759,202.4
10/11/16 3:45,EDT,N.Y.C.,61761,3930.8
10/11/16 3:45,EDT,NORTH,61755,466
10/11/16 3:45,EDT,WEST,61752,1389.1
10/11/16 3:50,EDT,CAPITL,61757,1046
10/11/16 3:50,EDT,CENTRL,61754,1368.6
10/11/16 3:50,EDT,DUNWOD,61760,453.4
10/11/16 3:50,EDT,GENESE,61753,821.5
10/11/16 3:50,EDT,HUD VL,61758,764.2
10/11/16 3:50,EDT,LONGIL,61762,1562.2
